Hogar,Sector,Zona,Comuna,DirCoordX,DirCoordY,Fecha,DiaAsig,TipoDia,Temporada,NumPer,NumVeh,NumBicAdulto,NumBicNino,Propiedad,MontoDiv,ImputadoDiv,MontoArr,ImputadoArr,IngresoHogar,Factor
100010,7,786,BUIN,335180.801929785,6266420.97464673,2013-04-14 00:00:00.000000,domingo,2,1,3,1,1,0,2,53000,0,100000,0,450845,136.393737792969
100020,7,785,BUIN,338410.211367801,6265607.14088364,2013-04-10 00:00:00.000000,miércoles,1,1,5,1,3,0,1,NA,0,120000,0,1019369,73.8435974121094
100030,7,791,BUIN,327863.824769,6257800.08625,2013-08-23 00:00:00.000000,viernes,1,1,1,0,0,0,3,NA,0,70000,0,80000,180.722808837891
100041,7,791,BUIN,327864,6257800,2013-08-23 00:00:00.000000,viernes,1,1,5,0,1,0,1,NA,0,80000,0,559259,150.379058837891
100052,7,783,BUIN,338480.81523754,6267296.94088059,2013-08-08 00:00:00.000000,jueves,1,1,3,0,0,0,1,NA,0,117771,1,710309,122.001518249512
100061,7,783,BUIN,338520.461114307,6267243.59044929,2013-08-08 00:00:00.000000,jueves,1,1,3,0,1,1,1,NA,0,120000,0,415053,122.001518249512
100070,7,783,BUIN,338672.275377063,6267348.64793685,2013-04-08 00:00:00.000000,lunes,1,1,1,1,0,0,1,NA,0,90000,0,231227,98.0456237792969
100082,7,786,BUIN,338923.499263413,6266488.78407113,2013-08-09 00:00:00.000000,viernes,1,1,1,0,0,0,1,NA,0,140000,0,79133,114.663482666016
100090,7,785,BUIN,339472.519510453,6262741.67985346,2013-04-19 00:00:00.000000,viernes,1,1,6,0,3,1,1,NA,0,132271,1,1334494,118.012084960938
100102,7,786,BUIN,334850.78170606197,6266124.31558541,2013-08-23 00:00:00.000000,viernes,1,1,4,0,2,0,1,NA,0,138696,1,1543874,108.940498352051
100112,7,786,BUIN,335866.842348814,6266308.10077129,2013-08-16 00:00:00.000000,viernes,1,1,3,0,1,0,1,NA,0,150000,0,278046,139.50129699707
100140,7,785,BUIN,338901.501037565,6262892.34551278,2013-04-19 00:00:00.000000,viernes,1,1,3,0,2,0,1,NA,0,120000,0,619535,110.427055358887
100161,7,786,BUIN,338124.998797235,6266113.56590561,2013-08-08 00:00:00.000000,jueves,1,1,1,0,0,0,5,NA,0,112553,1,92754,114.663482666016
100170,7,783,BUIN,338672.089370564,6266596.35519168,2013-02-20 00:00:00.000000,miércoles,1,2,5,3,2,1,3,NA,0,150000,0,1200000,270.516082763672
100180,7,787,BUIN,338859.837437809,6268671.36511919,2013-03-21 00:00:00.000000,jueves,1,1,4,0,1,0,1,NA,0,120000,0,280000,204.814834594727
100192,7,786,BUIN,338018.8010592,6266424.46379603,2013-08-16 00:00:00.000000,viernes,1,1,1,0,0,0,1,NA,0,120000,0,184068,114.663482666016
100200,7,785,BUIN,338713.078966839,6265343.15540709,2012-08-10 00:00:00.000000,viernes,1,1,3,0,1,1,3,NA,0,170000,0,274156,110.427055358887
100222,7,783,BUIN,338487.656780304,6268439.35605246,2013-03-21 00:00:00.000000,jueves,1,1,4,0,2,0,1,NA,0,90000,0,643128,95.2744445800781
100232,7,783,BUIN,338399.878413274,6268318.0748085,2013-03-21 00:00:00.000000,jueves,1,1,1,0,1,0,2,85000,0,150000,0,120000,100.279487609863
100242,7,783,BUIN,338756.533353517,6266656.23746937,2013-08-09 00:00:00.000000,viernes,1,1,5,0,3,0,1,NA,0,100000,0,403936,83.4423446655273
100252,7,792,BUIN,341877,6270590,2013-05-15 00:00:00.000000,miércoles,1,1,2,2,0,0,1,NA,0,193981,1,600000,15.1521806716919
100262,7,786,BUIN,337881.55392201,6266177.89619627,2013-02-23 00:00:00.000000,sábado,2,2,2,1,0,0,1,NA,0,260000,0,1586807,116.353302001953
100270,7,783,BUIN,338821.126867,6266668.49229,2013-02-20 00:00:00.000000,miércoles,1,2,3,1,1,0,1,NA,0,130000,0,182046,119.283798217773
100281,7,783,BUIN,339001.076291,6268411.75185,2013-04-10 00:00:00.000000,miércoles,1,1,2,0,1,1,5,NA,0,90000,0,163929,104.075729370117
100290,7,786,BUIN,339333.998781566,6266135.41256564,2013-05-12 00:00:00.000000,domingo,2,1,2,0,0,0,1,NA,0,118854,1,468043,119.004264831543
100302,7,786,BUIN,335115.442908929,6266056.67266484,2013-04-13 00:00:00.000000,sábado,2,1,5,1,2,1,5,NA,0,200000,0,526495,93.2858200073242
100312,7,785,BUIN,338384.885695239,6265230.6770925,2013-05-09 00:00:00.000000,jueves,1,1,4,0,2,1,2,25000,0,120000,0,464941,86.2355728149414
100322,7,791,BUIN,333732.549869816,6261246.37940133,2013-08-23 00:00:00.000000,viernes,1,1,2,1,0,0,1,NA,0,120000,0,730852,183.386123657227
100332,7,786,BUIN,335939.743963593,6266985.33720701,2013-02-26 00:00:00.000000,martes,1,2,4,1,3,1,2,85000,0,120000,0,348617,106.513710021973
100342,7,786,BUIN,337941.56272835,6266104.02297592,2013-08-08 00:00:00.000000,jueves,1,1,4,0,1,1,1,NA,0,150000,0,228546,108.940498352051
100350,7,783,BUIN,338788.306151642,6266701.25416274,2013-02-20 00:00:00.000000,miércoles,1,2,2,1,1,0,1,NA,0,120000,0,195529,101.757293701172
100360,7,785,BUIN,338429.265272995,6265488.77354821,2013-08-16 00:00:00.000000,viernes,1,1,2,0,0,0,3,NA,0,150000,0,390000,94.201904296875
100370,7,786,BUIN,338681.05,6266323.52,2012-07-28 00:00:00.000000,sábado,2,1,3,0,1,0,1,NA,0,150000,0,546915,139.50129699707
100372,7,783,BUIN,338818.169466773,6266716.62171496,2013-08-09 00:00:00.000000,viernes,1,1,1,0,0,0,1,NA,0,150000,0,136764,100.279487609863
100382,7,784,BUIN,338215.378992174,6266840.6558426,2013-02-23 00:00:00.000000,sábado,2,2,2,0,1,0,3,NA,0,60000,0,350000,93.9046173095703
100392,7,783,BUIN,338600.647669671,6267056.37309558,2013-08-09 00:00:00.000000,viernes,1,1,5,0,2,0,3,NA,0,120000,0,497540,83.4423446655273
100402,7,783,BUIN,338641.697742593,6267073.4829735,2013-08-09 00:00:00.000000,viernes,1,1,3,1,0,0,1,NA,0,140000,0,1069647,119.283798217773
100413,7,783,BUIN,338672.574641043,6267039.83943175,2013-08-09 00:00:00.000000,viernes,1,1,2,0,1,0,1,NA,0,120000,0,464368,104.075729370117
100420,7,783,BUIN,338676.661066619,6266870.07475756,2013-02-20 00:00:00.000000,miércoles,1,2,2,1,1,0,1,NA,0,200000,0,200000,101.757293701172
100452,7,786,BUIN,334961,6266216,2013-08-16 00:00:00.000000,viernes,1,1,5,0,2,0,1,NA,0,140000,0,654813,95.4112167358398
100461,7,792,BUIN,344089.112998029,6265917.24517088,2013-02-19 00:00:00.000000,martes,1,2,5,1,2,1,1,NA,0,120000,0,335129,12.3731517791748
100472,7,785,BUIN,338518.017493371,6264827.16533525,2013-08-16 00:00:00.000000,viernes,1,1,2,1,1,0,2,275890,1,500000,0,802472,92.1034393310547
100482,7,792,BUIN,341575.47,6270182.79,2013-05-16 00:00:00.000000,jueves,1,1,3,0,2,0,1,NA,0,60000,0,582869,12.3538675308228
100490,7,786,BUIN,335361.708178462,6266367.96408603,2013-05-16 00:00:00.000000,jueves,1,1,2,0,0,1,5,NA,0,105990,1,205844,119.004264831543
100501,7,783,BUIN,338610.508318783,6267691.13818495,2013-04-08 00:00:00.000000,lunes,1,1,7,0,4,2,1,NA,0,80000,0,386000,357.564483642578
100510,7,785,BUIN,338885,6262675,2013-04-19 00:00:00.000000,viernes,1,1,5,0,3,1,1,NA,0,150000,0,1033233,75.5260314941406
100522,7,786,BUIN,335573.280784048,6266552.52790315,2013-04-14 00:00:00.000000,domingo,2,1,5,0,1,0,1,NA,0,80000,0,484289,95.4112167358398
100532,7,786,BUIN,335882.548866271,6266553.85048869,2013-08-16 00:00:00.000000,viernes,1,1,1,0,0,0,1,NA,0,100000,0,208538,114.663482666016
100541,7,783,BUIN,339027.129448292,6266757.7467841,2013-04-10 00:00:00.000000,miércoles,1,1,4,1,1,1,1,NA,0,140000,0,973831,93.1520462036133
100562,7,786,BUIN,334775.18,6265683.29,2013-02-26 00:00:00.000000,martes,1,2,2,0,1,0,1,NA,0,260000,0,300000,119.004264831543
100571,7,783,BUIN,338951.597129377,6268540.24565144,2013-08-16 00:00:00.000000,viernes,1,1,5,0,2,1,5,NA,0,93031,1,747260,83.4423446655273
100582,7,784,BUIN,338501.08205743,6266827.07416938,2013-08-09 00:00:00.000000,viernes,1,1,2,0,1,0,1,NA,0,100000,0,136258,93.9046173095703
100592,7,783,BUIN,339417.503465777,6266852.38735095,2013-08-09 00:00:00.000000,viernes,1,1,3,0,1,0,2,82580,1,140000,0,87408,122.001518249512
100601,7,783,BUIN,338949.211946025,6268670.87394453,2013-03-21 00:00:00.000000,jueves,1,1,4,1,0,1,3,NA,0,80000,0,768636,93.1520462036133
100611,7,784,BUIN,338119.442402713,6266955.94619967,2013-08-16 00:00:00.000000,viernes,1,1,5,0,2,1,1,NA,0,100000,0,458102,75.2876739501953
100620,7,792,BUIN,344206.091546251,6266148.76008402,2013-02-19 00:00:00.000000,martes,1,2,7,0,0,1,1,NA,0,100000,0,409622,12.3785247802734
100631,7,783,BUIN,339344.488008344,6266735.35561625,2013-08-16 00:00:00.000000,viernes,1,1,2,0,2,0,3,NA,0,120000,0,201871,104.075729370117
100642,7,792,BUIN,345581.548398,6274062.42155,2013-08-16 00:00:00.000000,viernes,1,1,4,0,2,0,1,NA,0,80000,0,71772,12.3538675308228
100651,7,785,BUIN,338712.9460361,6265351.02881668,2013-08-16 00:00:00.000000,viernes,1,1,1,0,0,0,1,NA,0,127022,1,129450,90.7658309936523
100661,7,792,BUIN,344644.136077663,6265318.66075068,2013-05-14 00:00:00.000000,martes,1,1,2,0,1,0,1,NA,0,101474,1,60691,12.3967695236206
100672,7,785,BUIN,338929.438533548,6265542.69861465,2013-08-16 00:00:00.000000,viernes,1,1,6,0,1,1,1,NA,0,140000,0,1552757,118.012084960938
100681,7,785,BUIN,338875.663020001,6265610.12135281,2013-08-16 00:00:00.000000,viernes,1,1,4,0,1,1,1,NA,0,157635,1,1611053,86.2355728149414
100692,7,791,BUIN,328134.008714317,6257254.64159705,2013-08-23 00:00:00.000000,viernes,1,1,2,0,0,0,1,NA,0,80000,0,652996,187.564407348633
100702,7,786,BUIN,335861.115555673,6266700.90346032,2013-04-14 00:00:00.000000,domingo,2,1,2,0,1,0,3,NA,0,80000,0,249490,119.004264831543
100712,7,786,BUIN,337303.572844619,6266026.8480313,2013-08-16 00:00:00.000000,viernes,1,1,4,0,1,0,1,NA,0,170000,0,804818,108.940498352051
100720,7,786,BUIN,335665.170306,6266933.63371,2013-04-14 00:00:00.000000,domingo,2,1,6,0,0,1,3,NA,0,70000,0,90000,149.083389282227
100732,7,785,BUIN,339127.660063,6264897.37094,2013-05-09 00:00:00.000000,jueves,1,1,6,1,0,3,2,125000,0,250000,0,308830,115.383171081543
100740,7,786,BUIN,338908.386907421,6265918.10310864,2013-02-20 00:00:00.000000,miércoles,1,2,1,0,0,0,3,NA,0,260000,0,95490,114.663482666016
100752,7,791,BUIN,333772.169999,6261097.39944,2013-06-13 00:00:00.000000,jueves,1,1,3,0,1,1,1,NA,0,120000,0,275920,219.870147705078
100760,7,783,BUIN,338803.231619974,6267014.31267591,2013-03-01 00:00:00.000000,viernes,1,1,4,0,1,0,5,NA,0,108460,1,181105,95.2744445800781
100772,7,783,BUIN,338765.191006763,6268495.17539885,2013-03-21 00:00:00.000000,jueves,1,1,3,0,1,0,1,NA,0,100000,0,157254,122.001518249512
100782,7,786,BUIN,335881.412030327,6266215.28379106,2013-04-14 00:00:00.000000,domingo,2,1,2,0,1,1,1,NA,0,100000,0,174300,119.004264831543
100792,7,786,BUIN,336002.374222584,6266176.76149056,2013-04-14 00:00:00.000000,domingo,2,1,4,1,1,1,1,NA,0,90000,0,366392,106.513710021973
100802,7,792,BUIN,341651.627711,6270580.13967,2013-08-16 00:00:00.000000,viernes,1,1,3,1,1,0,1,NA,0,400000,0,1441119,12.3883199691772
100810,7,783,BUIN,339139.511074998,6267123.91384553,2013-04-08 00:00:00.000000,lunes,1,1,5,1,0,0,2,75000,0,150000,0,192354,81.5835494995117
100822,7,783,BUIN,339118.198247,6267115.27729,2013-04-08 00:00:00.000000,lunes,1,1,3,0,1,1,3,NA,0,120000,0,215000,122.001518249512
100832,7,783,BUIN,338639.926555429,6268090.07486116,2013-08-16 00:00:00.000000,viernes,1,1,4,0,1,0,2,70000,0,131598,1,440662,95.2744445800781
100843,7,784,BUIN,338551.866101184,6266822.05313842,2013-08-09 00:00:00.000000,viernes,1,1,1,0,0,0,1,NA,0,119212,1,63000,90.4793701171875
100850,7,792,BUIN,344313.042117108,6265659.45545214,2013-02-19 00:00:00.000000,martes,1,2,5,0,2,0,2,91000,0,170000,0,564717,12.3538675308228
100862,7,783,BUIN,338561.623658962,6268050.04055984,2013-08-16 00:00:00.000000,viernes,1,1,3,1,1,0,1,NA,0,120000,0,651304,119.283798217773
100872,7,786,BUIN,338337,6265972,2013-08-08 00:00:00.000000,jueves,1,1,1,0,1,0,5,NA,0,300000,0,638396,114.663482666016
100882,7,786,BUIN,338271.205711447,6265957.19721145,2013-08-08 00:00:00.000000,jueves,1,1,2,0,0,0,1,NA,0,200000,0,522147,119.004264831543
100890,7,785,BUIN,338975.741922505,6265225.79131014,2013-02-23 00:00:00.000000,sábado,2,2,5,2,4,1,2,120000,0,180000,0,612402,244.851745605469
100902,7,786,BUIN,335872.447970122,6266909.97223894,2013-05-09 00:00:00.000000,jueves,1,1,5,0,0,1,2,85000,0,100000,0,495707,95.4112167358398
100912,7,786,BUIN,339817.172636326,6266204.86531991,2013-04-14 00:00:00.000000,domingo,2,1,6,1,1,0,1,NA,0,120000,0,687111,145.76237487793
100922,7,786,BUIN,334753.883885997,6266148.37549559,2013-08-23 00:00:00.000000,viernes,1,1,1,0,0,0,1,NA,0,120000,0,284075,114.663482666016
